,gender,age,income,career,dec,attr,sinc,intel,fun,amb,like
0,0,21.0,69487.0,lawyer,1,6.0,9.0,7.0,7.0,6.0,7.0
1,0,21.0,69487.0,lawyer,1,7.0,8.0,7.0,8.0,5.0,7.0
2,0,21.0,69487.0,lawyer,1,5.0,8.0,9.0,8.0,5.0,7.0
3,0,21.0,69487.0,lawyer,1,7.0,6.0,8.0,7.0,6.0,7.0
4,0,21.0,69487.0,lawyer,1,5.0,6.0,7.0,7.0,6.0,6.0
5,0,21.0,69487.0,lawyer,0,4.0,9.0,7.0,4.0,6.0,6.0
6,0,21.0,69487.0,lawyer,1,7.0,6.0,7.0,4.0,6.0,6.0
7,0,21.0,69487.0,lawyer,0,4.0,9.0,7.0,6.0,5.0,6.0
8,0,21.0,69487.0,lawyer,1,7.0,6.0,8.0,9.0,8.0,7.0
9,0,21.0,69487.0,lawyer,1,5.0,6.0,6.0,8.0,10.0,6.0
10,0,24.0,65929.0,law,0,5.0,7.0,8.0,4.0,6.0,6.0
11,0,24.0,65929.0,law,0,8.0,5.0,6.0,6.0,9.0,7.0
12,0,24.0,65929.0,law,0,5.0,8.0,9.0,6.0,3.0,6.0
13,0,24.0,65929.0,law,1,7.0,9.0,7.0,6.0,5.0,7.0
14,0,24.0,65929.0,law,0,6.0,8.0,7.0,9.0,7.0,8.0
15,0,24.0,65929.0,law,0,8.0,7.0,8.0,3.0,6.0,6.0
16,0,24.0,65929.0,law,1,7.0,5.0,9.0,6.0,7.0,8.0
17,0,24.0,65929.0,law,0,5.0,8.0,7.0,5.0,9.0,5.0
18,0,24.0,65929.0,law,1,7.0,6.0,8.0,9.0,4.0,5.0
19,0,24.0,65929.0,law,1,6.0,7.0,8.0,7.0,9.0,8.0
20,0,25.0,,Economist,0,7.0,9.0,10.0,7.0,8.0,8.0
21,0,25.0,,Economist,0,9.0,7.0,9.0,8.0,9.0,8.0
22,0,25.0,,Economist,0,7.0,9.0,9.0,7.0,9.0,8.0
23,0,25.0,,Economist,0,9.0,7.0,9.0,7.0,9.0,8.0
24,0,25.0,,Economist,0,9.0,10.0,10.0,10.0,10.0,9.0
25,0,25.0,,Economist,0,8.0,10.0,10.0,7.0,9.0,8.0
26,0,25.0,,Economist,0,8.0,9.0,10.0,7.0,7.0,8.0
